,裁定,臺灣新北地方法院,判賠比率
臺灣臺南地方法院民事判決109年度建字第16號,0,0,1
臺灣臺南地方法院民事判決109年度建字第29號,0,0,1
臺灣臺南地方法院民事判決109年度建字第41號,0,0,
臺灣花蓮地方法院民事判決108年度建字第6號,1,0,0.823080184
臺灣苗栗地方法院民事判決109年度建字第12號,0,0,0
臺灣嘉義地方法院民事判決109年度建字第17號,0,0,
臺灣嘉義地方法院民事判決110年度建字第3號,0,0,
臺灣基隆地方法院民事判決109年度建字第17號,0,0,0
臺灣士林地方法院民事判決110年度建字第8號,1,0,1
臺灣宜蘭地方法院民事判決107年度建字第19號,0,0,1
臺灣宜蘭地方法院民事判決108年度建字第19號,0,0,1
臺灣彰化地方法院民事判決105年度建字第30號,0,0,1
臺灣彰化地方法院民事判決109年度建字第17號,0,0,0
臺灣彰化地方法院民事判決110年度建字第4號,0,0,
臺灣新北地方法院民事判決109年度建字第84號,0,1,1
臺灣新竹地方法院民事判決108年度建字第11號,0,0,
臺灣新竹地方法院民事判決109年度建字第27號,0,0,
臺灣桃園地方法院民事判決109年度建字第117號,0,0,1
臺灣桃園地方法院民事判決109年度建字第141號,0,0,1
臺灣桃園地方法院民事判決109年度建字第77號,0,0,
臺灣桃園地方法院民事判決109年度建字第79號,0,0,0
臺灣桃園地方法院民事判決109年度建字第80號,0,0,0
臺灣橋頭地方法院民事判決108年度建字第7號,0,0,1
臺灣臺中地方法院民事判決107年度建字第156號,0,0,0
臺灣臺中地方法院民事判決107年度建字第169號,0,0,0
臺灣臺中地方法院民事判決107年度建字第54號,0,0,0
臺灣臺中地方法院民事判決108年度建字第157號,0,0,0
臺灣臺中地方法院民事判決108年度建字第36號,0,0,0.974894209
臺灣臺中地方法院民事判決108年度建字第93號,0,0,
臺灣臺中地方法院民事判決109年度建字第100號,0,0,0
臺灣臺中地方法院民事判決109年度建字第117號,1,0,
臺灣臺中地方法院民事判決109年度建字第128號,0,0,1
臺灣臺中地方法院民事判決109年度建字第143號,0,0,0
臺灣臺中地方法院民事判決109年度建字第162號,0,0,0
臺灣臺中地方法院民事判決109年度建字第42號,1,0,
臺灣臺中地方法院民事判決109年度建字第95號,0,0,0
臺灣臺北地方法院民事判決103年度建字第291號,0,0,0.808637376
臺灣臺北地方法院民事判決106年度建字第356號,0,0,0.102810062
臺灣臺北地方法院民事判決107年度建字第443號,0,0,0
臺灣臺北地方法院民事判決108年度建字第129號,0,0,0.537676384
臺灣臺北地方法院民事判決108年度建字第190號,0,0,
臺灣臺北地方法院民事判決108年度建字第241號,0,0,0
臺灣臺北地方法院民事判決108年度建字第326號,0,0,0.191218677
臺灣臺北地方法院民事判決108年度建字第422號,0,0,0.173096607
臺灣臺北地方法院民事判決108年度建字第425號,0,0,0.153625448
臺灣臺北地方法院民事判決109年度建字第137號,0,0,1
臺灣臺北地方法院民事判決109年度建字第175號,0,1,0.936365719
臺灣臺北地方法院民事判決109年度建字第242號,0,0,1
臺灣臺北地方法院民事判決109年度建字第271號,0,0,
臺灣臺北地方法院民事判決109年度建字第294號,0,0,1
臺灣臺北地方法院民事判決110年度建字第30號,0,0,0.868675968
臺灣臺北地方法院民事判決110年度建字第5號,1,1,1
臺灣臺南地方法院民事判決107年度建字第62號,1,0,0.985307479
臺灣臺南地方法院民事判決108年度建字第21號,0,0,0.142005503
臺灣臺南地方法院民事判決109年度建字第49號,0,0,0
臺灣臺南地方法院民事判決109年度建字第75號,0,0,0
臺灣花蓮地方法院民事判決107年度建字第7號,0,0,0.781461053
臺灣花蓮地方法院民事判決109年度建字第9號,0,0,
臺灣苗栗地方法院民事判決109年度建字第18號,0,0,1
臺灣苗栗地方法院民事判決110年度建字第1號,0,0,
臺灣高雄地方法院民事判決109年度建字第74號,0,0,0.066322771
臺灣高雄地方法院民事判決110年度建字第12號,0,0,1
臺灣高雄地方法院民事判決110年度建字第9號,1,0,1
臺灣基隆地方法院民事判決107年度建字第15號,0,0,0
臺灣基隆地方法院民事判決109年度建字第15號,0,0,0.173349535
臺灣基隆地方法院民事判決109年度建字第24號,0,0,0
臺灣士林地方法院民事判決108年度建字第54號,1,0,0
臺灣士林地方法院民事判決109年度建字第50號,0,0,0
臺灣屏東地方法院民事判決108年度建字第27號,0,0,0
臺灣彰化地方法院民事判決108年度建字第10號,0,0,
臺灣新北地方法院民事判決107年度建字第133號,0,1,0
臺灣新北地方法院民事判決107年度建字第64號,1,1,0
臺灣新北地方法院民事判決109年度建字第46號,0,1,0
臺灣新北地方法院民事判決109年度建字第48號,0,1,
臺灣新北地方法院民事判決110年度建字第23號,0,1,1
臺灣新竹地方法院民事判決108年度建字第45號,0,0,0.172064612
臺灣新竹地方法院民事判決108年度建字第63號,0,0,0
臺灣新竹地方法院民事判決108年度建字第70號,0,0,0.958228906
臺灣新竹地方法院民事判決108年度建字第73號,0,0,0.526808176
臺灣新竹地方法院民事判決109年度建字第3號,0,0,0.075017652
臺灣新竹地方法院民事判決109年度建字第41號,1,0,0
臺灣桃園地方法院民事判決108年度建字第131號,0,0,0.491623892
臺灣桃園地方法院民事判決108年度建字第98號,0,0,0.373073916
臺灣桃園地方法院民事判決109年度建字第121號,0,0,
臺灣桃園地方法院民事判決110年度建字第9號,0,0,1
臺灣橋頭地方法院民事判決110年度建字第5號,0,0,0.482761317
臺灣橋頭地方法院民事判決110年度建字第6號,0,0,1
臺灣臺中地方法院民事判決107年度建字第16號,0,0,0.577777778
臺灣臺中地方法院民事判決108年度建字第19號,1,0,0.642122262
臺灣臺中地方法院民事判決109年度建字第101號,0,0,0
臺灣臺中地方法院民事判決109年度建字第130號,0,0,
臺灣臺中地方法院民事判決109年度建字第137號,0,0,0
臺灣臺中地方法院民事判決109年度建字第23號,1,0,
