,,判賠比率,判決案由
88,臺灣臺北地方法院民事判決109年度建字第210號,,返還溢領工程款等
89,臺灣臺北地方法院民事判決109年度建字第215號,0,給付工程款
90,臺灣臺北地方法院民事判決109年度建字第222號,1,給付工程款
91,臺灣臺北地方法院民事判決109年度建字第275號,0,履行契約
92,臺灣臺北地方法院民事判決109年度建字第327號,0.610225303,給付工程款
93,臺灣臺北地方法院民事判決109年度建字第33號,,損害賠償等
94,臺灣臺北地方法院民事判決109年度建字第343號,0,損害賠償
95,臺灣臺北地方法院民事判決109年度建字第364號,,返還工程保固金等
96,臺灣臺北地方法院民事判決109年度建字第382號,,給付工程款
97,臺灣臺北地方法院民事判決109年度建字第67號,0.280121281,給付工程款等
98,臺灣臺北地方法院民事判決110年度建字第26號,1,給付工程款等
99,臺灣臺北地方法院民事判決110年度建字第41號,,履行契約等
100,臺灣臺南地方法院民事判決104年度建字第17號,0.405835542,給付工程款
101,臺灣臺南地方法院民事判決108年度建字第42號,1,給付工程款
102,臺灣臺南地方法院民事判決109年度建字第16號,1,返還溢領工程款
103,臺灣臺南地方法院民事判決109年度建字第29號,1,給付承攬報酬
104,臺灣臺南地方法院民事判決109年度建字第41號,,給付承攬報酬
105,臺灣花蓮地方法院民事判決108年度建字第6號,0.823080184,給付工程款等
106,臺灣苗栗地方法院民事判決109年度建字第12號,0,給付工程款
107,臺灣嘉義地方法院民事判決109年度建字第17號,,給付遲延違約金
108,臺灣嘉義地方法院民事判決110年度建字第3號,,返還工程款
109,臺灣基隆地方法院民事判決109年度建字第17號,0,給付保固保證金
110,臺灣士林地方法院民事判決110年度建字第8號,1,給付工程款
111,臺灣宜蘭地方法院民事判決107年度建字第19號,1,給付承攬報酬
112,臺灣宜蘭地方法院民事判決108年度建字第19號,1,給付工程款
113,臺灣彰化地方法院民事判決105年度建字第30號,1,返還不當得利等
114,臺灣彰化地方法院民事判決109年度建字第17號,0,給付工程款
115,臺灣彰化地方法院民事判決110年度建字第4號,,給付工程款等
116,臺灣新北地方法院民事判決109年度建字第84號,1,給付工程款
117,臺灣新竹地方法院民事判決108年度建字第11號,,給付工程款
118,臺灣新竹地方法院民事判決109年度建字第27號,,給付工程款
119,臺灣桃園地方法院民事判決109年度建字第117號,1,給付買賣價金
120,臺灣桃園地方法院民事判決109年度建字第141號,1,損害賠償等
121,臺灣桃園地方法院民事判決109年度建字第77號,,返還溢領工程款等
122,臺灣桃園地方法院民事判決109年度建字第79號,0,給付工程款等
123,臺灣桃園地方法院民事判決109年度建字第80號,0,給付工程款
124,臺灣橋頭地方法院民事判決108年度建字第7號,1,給付工程款等
125,臺灣臺中地方法院民事判決107年度建字第156號,0,給付工程款
126,臺灣臺中地方法院民事判決107年度建字第169號,0,給付工程款
127,臺灣臺中地方法院民事判決107年度建字第54號,0,違約賠償
128,臺灣臺中地方法院民事判決108年度建字第157號,0,給付工程費用
129,臺灣臺中地方法院民事判決108年度建字第36號,0.974894209,給付工程報酬等
130,臺灣臺中地方法院民事判決108年度建字第93號,,損害賠償等
131,臺灣臺中地方法院民事判決109年度建字第100號,0,給付工程款
132,臺灣臺中地方法院民事判決109年度建字第117號,,給付報酬等
133,臺灣臺中地方法院民事判決109年度建字第128號,1,給付工程款等
134,臺灣臺中地方法院民事判決109年度建字第143號,0,損害賠償
135,臺灣臺中地方法院民事判決109年度建字第162號,0,給付工程款
136,臺灣臺中地方法院民事判決109年度建字第42號,,給付工程款
137,臺灣臺中地方法院民事判決109年度建字第95號,0,給付工程款
138,臺灣臺北地方法院民事判決103年度建字第291號,0.808637376,給付工程款
139,臺灣臺北地方法院民事判決106年度建字第356號,0.102810062,返還溢領工程款等
140,臺灣臺北地方法院民事判決107年度建字第443號,0,確認工程款債權存在
141,臺灣臺北地方法院民事判決108年度建字第129號,0.537676384,返還工程保固金
142,臺灣臺北地方法院民事判決108年度建字第190號,,損害賠償
143,臺灣臺北地方法院民事判決108年度建字第241號,0,給付工程款
144,臺灣臺北地方法院民事判決108年度建字第326號,0.191218677,給付工程款等
145,臺灣臺北地方法院民事判決108年度建字第422號,0.173096607,損害賠償
146,臺灣臺北地方法院民事判決108年度建字第425號,0.153625448,給付工程保留款等
147,臺灣臺北地方法院民事判決109年度建字第137號,1,損害賠償
148,臺灣臺北地方法院民事判決109年度建字第175號,0.936365719,給付工程保留款等
149,臺灣臺北地方法院民事判決109年度建字第242號,1,給付工程款
150,臺灣臺北地方法院民事判決109年度建字第271號,,給付承攬報酬
151,臺灣臺北地方法院民事判決109年度建字第294號,1,給付工程款等
152,臺灣臺北地方法院民事判決110年度建字第30號,0.868675968,給付工程款等
153,臺灣臺北地方法院民事判決110年度建字第5號,1,給付工程款
154,臺灣臺南地方法院民事判決107年度建字第62號,0.985307479,返還工程款等
155,臺灣臺南地方法院民事判決108年度建字第21號,0.142005503,給付工程款
156,臺灣臺南地方法院民事判決109年度建字第49號,0,給付工程款
157,臺灣臺南地方法院民事判決109年度建字第75號,0,給付工程款
158,臺灣花蓮地方法院民事判決107年度建字第7號,0.781461053,損害賠償
159,臺灣花蓮地方法院民事判決109年度建字第9號,,返還溢領工程款等
160,臺灣苗栗地方法院民事判決109年度建字第18號,1,給付貨款等
161,臺灣苗栗地方法院民事判決110年度建字第1號,,給付工程款
162,臺灣高雄地方法院民事判決109年度建字第74號,0.066322771,損害賠償
163,臺灣高雄地方法院民事判決110年度建字第12號,1,返還溢領工程款
164,臺灣高雄地方法院民事判決110年度建字第9號,1,損害賠償
165,臺灣基隆地方法院民事判決107年度建字第15號,0,給付工程款
166,臺灣基隆地方法院民事判決109年度建字第15號,0.173349535,給付工程款
167,臺灣基隆地方法院民事判決109年度建字第24號,0,返還履約保證金
168,臺灣士林地方法院民事判決108年度建字第54號,0,損害賠償等
169,臺灣士林地方法院民事判決109年度建字第50號,0,損害賠償
170,臺灣屏東地方法院民事判決108年度建字第27號,0,損害賠償等
171,臺灣彰化地方法院民事判決108年度建字第10號,,給付工程款
172,臺灣新北地方法院民事判決107年度建字第133號,0,給付工程款
173,臺灣新北地方法院民事判決107年度建字第64號,0,給付工程款
174,臺灣新北地方法院民事判決109年度建字第46號,0,損害賠償
175,臺灣新北地方法院民事判決109年度建字第48號,,損害賠償等
176,臺灣新北地方法院民事判決110年度建字第23號,1,給付工程款
177,臺灣新竹地方法院民事判決108年度建字第45號,0.172064612,給付承攬報酬等
178,臺灣新竹地方法院民事判決108年度建字第63號,0,損害賠償
179,臺灣新竹地方法院民事判決108年度建字第70號,0.958228906,給付工程款
180,臺灣新竹地方法院民事判決108年度建字第73號,0.526808176,給付承攬報酬等
181,臺灣新竹地方法院民事判決109年度建字第3號,0.075017652,損害賠償
182,臺灣新竹地方法院民事判決109年度建字第41號,0,損害賠償
183,臺灣桃園地方法院民事判決108年度建字第131號,0.491623892,給付承攬報酬
184,臺灣桃園地方法院民事判決108年度建字第98號,0.373073916,給付工程款
185,臺灣桃園地方法院民事判決109年度建字第121號,,給付工程款等
186,臺灣桃園地方法院民事判決110年度建字第9號,1,給付工程款
187,臺灣橋頭地方法院民事判決110年度建字第5號,0.482761317,給付工程款
188,臺灣橋頭地方法院民事判決110年度建字第6號,1,給付工程款
189,臺灣臺中地方法院民事判決107年度建字第16號,0.577777778,給付工程款
190,臺灣臺中地方法院民事判決108年度建字第19號,0.642122262,損害賠償等
191,臺灣臺中地方法院民事判決109年度建字第101號,0,給付工程款
192,臺灣臺中地方法院民事判決109年度建字第130號,,給付報酬
193,臺灣臺中地方法院民事判決109年度建字第137號,0,給付工程款
194,臺灣臺中地方法院民事判決109年度建字第23號,,請求返還工程款等
195,臺灣臺中地方法院民事判決109年度建字第33號,0,返還工程履約保證金
196,臺灣臺中地方法院民事判決109年度建字第4號,0.274725275,給付逾期違約罰款等
197,臺灣臺中地方法院民事判決109年度建字第81號,0.99195014,給付工程款等
198,臺灣臺北地方法院民事判決105年度建字第29號,1,給付工程款
199,臺灣臺北地方法院民事判決106年度建字第277號,0.445696649,返還承攬報酬等
200,臺灣臺北地方法院民事判決107年度建字第67號,0.507736442,損害賠償
201,臺灣臺北地方法院民事判決108年度建字第332號,0.769016178,履行契約
202,臺灣臺北地方法院民事判決108年度建字第362號,0.932980738,給付工程款
203,臺灣臺北地方法院民事判決108年度建字第366號,0.058960672,履行契約等
204,臺灣臺北地方法院民事判決108年度建字第410號,0.709206553,給付工程款等
205,臺灣臺北地方法院民事判決108年度建字第8號,0.795300216,給付工程款
206,臺灣臺北地方法院民事判決109年度建字第111號,0,清償債務
207,臺灣臺北地方法院民事判決109年度建字第145號,0.626316857,給付工程款
208,臺灣臺北地方法院民事判決109年度建字第147號,0,給付工程款
